Bhutan,,,BTN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bhutan,http://aims.fao.org/aos/geopolitical.owl#Bhutan,Bhutan,Bhoutan,
Bolivia,,,BOL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bolivia,http://aims.fao.org/aos/geopolitical.owl#Bolivia,Bolivia,Bolivie,
"Bonaire, Sint Eustatius and Saba",,,,,,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius y Saba","Bonaire, Sint Eustatius et Saba"
Bosnia and Herzegovina,,,BIH,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bosnia_and_Herzegovina,http://aims.fao.org/aos/geopolitical.owl#Bosnia_and_Herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine
Botswana,,,BWA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Botswana,http://aims.fao.org/aos/geopolitical.owl#Botswana,Botswana,,
Brazil,,,BRA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Brazil,http://aims.fao.org/aos/geopolitical.owl#Brazil,Brazil,Brasil,Brésil
British Indian Ocean Territory,,,,,,British Indian Ocean Territory,,
British Virgin Islands,,,,,,British Virgin Islands,,
Brunei Darussalam,,,BRN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Brunei_Darussalam,http://aims.fao.org/aos/geopolitical.owl#Brunei_Darussalam,Brunei Darussalam,,
Bulgaria,,,BGR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bulgaria,http://aims.fao.org/aos/geopolitical.owl#Bulgaria,Bulgaria,Bulgarie,
Burkina Faso,,,BFA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Burkina_Faso,http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso,Burkina Faso,,
Burundi,,,BDI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Burundi,http://aims.fao.org/aos/geopolitical.owl#Burundi,Burundi,,
Cabo Verde,,,,,,Cabo Verde,,
Cambodge,,,,,,Cambodge,,
Cambodia,,,KHM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cambodia,http://aims.fao.org/aos/geopolitical.owl#Cambodia,Cambodia,,
Camboya,,,,,,Camboya,,
Cameroon,,,CMR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cameroon,http://aims.fao.org/aos/geopolitical.owl#Cameroon,Cameroon,,
Cameroun,,,,,,Cameroun,,
Camerún,,,,,,Camerún,,
Canada,,,CAN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Canada,http://aims.fao.org/aos/geopolitical.owl#Canada,Canada,,
Cap-Vert,,,,,,Cap-Vert,,
Cape Verde,,,CPV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cape_Verde,http://aims.fao.org/aos/geopolitical.owl#Cape_Verde,Cape Verde,,
Caribbean,,,,,,Caribbean,,
Cayman Islands,,,,,,Cayman Islands,,
CÃ´te d'Ivoire,,,CIV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cote_d_Ivoire,http://aims.fao.org/aos/geopolitical.owl#Cote_d_Ivoire,CÃ´te d'Ivoire,,
Central African Republic,,,CAF,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Central_African_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Central_African_Republic_the,Central African Republic,,
Central America,,,,,,Central America,,
Central Asia,,,,,,Central Asia,,
Chad,,,TCD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Chad,http://aims.fao.org/aos/geopolitical.owl#Chad,Chad,,
Chile,,,CHL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Chile,http://aims.fao.org/aos/geopolitical.owl#Chile,Chile,,
Chili,,,,,,Chili,,
China,,,CHN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/China,http://aims.fao.org/aos/geopolitical.owl#China,China,,
Chine,,,,,,Chine,,
Chipre,,,,,,Chipre,,
Chypre,,,,,,Chypre,,
Chypre du Nord,,,,,,Chypre du Nord,,
Colombia,,,COL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Colombia,http://aims.fao.org/aos/geopolitical.owl#Colombia,Colombia,,
Colombie,,,,,,Colombie,,
Comoras,,,,,,Comoras,,
Comores,,,,,,Comores,,
Comoros,,,COM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Comoros_the,http://aims.fao.org/aos/geopolitical.owl#Comoros_the,Comoros,,
Congo,,,COG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Congo_the,http://aims.fao.org/aos/geopolitical.owl#Congo_the,Congo,,
"Congo, Dem. Rep.",,,,,,"Congo, Dem. Rep.",,
"Congo, Rep.",,,,,,"Congo, Rep.",,
Cook Islands,,,COK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cook_Islands_the,http://aims.fao.org/aos/geopolitical.owl#Cook_Islands_the,Cook Islands,,
Corea,,,,,,Corea,,
Corée,,,,,,Corée,,
Costa Rica,,,CRI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Costa_Rica,http://aims.fao.org/aos/geopolitical.owl#Costa_Rica,Costa Rica,,
Côte d'Ivoire,,,,,,Côte d'Ivoire,,
Croacia,,,,,,Croacia,,
Croatia,,,HRV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Croatia,http://aims.fao.org/aos/geopolitical.owl#Croatia,Croatia,,
Croatie,,,,,,Croatie,,
Cuba,,,CUB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cuba,http://aims.fao.org/aos/geopolitical.owl#Cuba,Cuba,,
Curaçao,,,,,,Curaçao,,
Curaþao,,,,,,Curaþao,,
Cyprus,,,CYP,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cyprus,http://aims.fao.org/aos/geopolitical.owl#Cyprus,Cyprus,,
Czech Republic,,,CZE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Czech_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Czech_Republic_the,Czech Republic,,
Danemark,,,,,,Danemark,,
Democratic Republic of the Congo,,,COD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Democratic_Republic_of_the_Congo,http://aims.fao.org/aos/geopolitical.owl#Democratic_Republic_of_the_Congo,Democratic Republic of the Congo,,
Denmark,,,DNK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Denmark,http://aims.fao.org/aos/geopolitical.owl#Denmark,Denmark,,
Dinamarca,,,,,,Dinamarca,,
Djibouti,,,DJI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Djibouti,http://aims.fao.org/aos/geopolitical.owl#Djibouti,Djibouti,,
Dominica,,,DMA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Dominica,http://aims.fao.org/aos/geopolitical.owl#Dominica,Dominica,,
Dominican Republic,,,DOM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Dominican_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Dominican_Republic_the,Dominican Republic,,
Dominique,,,,,,Dominique,,
East Africa,,,,,,East Africa,,
East Asia & Pacific,,,,,,East Asia & Pacific,,
Eastern Europe,,,,,,Eastern Europe,,
Ecuador,,,ECU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ecuador,http://aims.fao.org/aos/geopolitical.owl#Ecuador,Ecuador,,
Egipto,,,,,,Egipto,,
Egypt,,,EGY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Egypt,http://aims.fao.org/aos/geopolitical.owl#Egypt,Egypt,,
Égypte,,,,,,Égypte,,
el Iraq,,,,,,el Iraq,,
El Salvador,,,SLV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/El_Salvador,http://aims.fao.org/aos/geopolitical.owl#El_Salvador,El Salvador,,
el Yemen,,,,,,el Yemen,,
Emiratos Árabes Unidos,,,,,,Emiratos Árabes Unidos,,
Émirats arabes unis,,,,,,Émirats arabes unis,,
Équateur,,,,,,Équateur,,
Equatorial Guinea,,,GNQ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Equatorial_Guinea,http://aims.fao.org/aos/geopolitical.owl#Equatorial_Guinea,Equatorial Guinea,,
Eritrea,,,ERI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Eritrea,http://aims.fao.org/aos/geopolitical.owl#Eritrea,Eritrea,,
Érythrée,,,,,,Érythrée,,
Eslovaquia,,,,,,Eslovaquia,,
Eslovenia,,,,,,Eslovenia,,
Espagne,,,,,,Espagne,,
España,,,,,,España,,
Estados Unidos de América,,,,,,Estados Unidos de América,,
Estonia,,,EST,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Estonia,http://aims.fao.org/aos/geopolitical.owl#Estonia,Estonia,,
Estonie,,,,,,Estonie,,
États-Unis d'Amérique,,,,,,États-Unis d'Amérique,,
Ethiopia,,,ETH,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ethiopia,http://aims.fao.org/aos/geopolitical.owl#Ethiopia,Ethiopia,,
Éthiopie,,,,,,Éthiopie,,
Etiopía,,,,,,Etiopía,,
Europe,,,,,,Europe,,
Falkland Islands,,,,,,Falkland Islands,,
Falkland Islands (Malvinas),,,,,,Falkland Islands (Malvinas),,
Faroe Islands,,,FRO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Faroe_Islands,http://aims.fao.org/aos/geopolitical.owl#Faroe_Islands,Faroe Islands,,
Fédération de Russie,,,,,,Fédération de Russie,,
Fidji,,,,,,Fidji,,
Fiji,,,FJI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Fiji,http://aims.fao.org/aos/geopolitical.owl#Fiji,Fiji,,
Filipinas,,,,,,Filipinas,,
Finland,,,FIN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Finland,http://aims.fao.org/aos/geopolitical.owl#Finland,Finland,,
Finlande,,,,,,Finlande,,
Finlandia,,,,,,Finlandia,,
France,,,FRA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/France,http://aims.fao.org/aos/geopolitical.owl#France,France,,
Francia,,,,,,Francia,,
French Guiana,,,,,,French Guiana,,
French Polynesia,,,,,,French Polynesia,,
French Southern and Antarctic Lands,,,,,,French Southern and Antarctic Lands,,
Gabon,,,GAB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Gabon,http://aims.fao.org/aos/geopolitical.owl#Gabon,Gabon,,
Gambia,,,GMB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Gambia__the,http://aims.fao.org/aos/geopolitical.owl#Gambia__the,Gambia,,
Gambie,,,,,,Gambie,,
Georgia,,,GEO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Georgia,http://aims.fao.org/aos/geopolitical.owl#Georgia,Georgia,,
Géorgie,,,,,,Géorgie,,
Géorgie du Sud-et-les Îles Sandwich du Sud,,,,,,Géorgie du Sud-et-les Îles Sandwich du Sud,,
Germany,,,DEU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Germany,http://aims.fao.org/aos/geopolitical.owl#Germany,Germany,Alemania,Allemagne
Ghana,,,GHA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ghana,http://aims.fao.org/aos/geopolitical.owl#Ghana,Ghana,,
Gibraltar,,,,,,Gibraltar,,
Glaciar de Siachen,,,,,,Glaciar de Siachen,,
Glacier de Siachen,,,,,,Glacier de Siachen,,
Global,,,,,,Global,,
Granada,,,,,,Granada,,
Grèce,,,,,,Grèce,,
Grecia,,,,,,Grecia,,
Greece,,,GRC,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Greece,http://aims.fao.org/aos/geopolitical.owl#Greece,Greece,,
Greenland,,,,,,Greenland,,
Grenada,,,GRD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Grenada,http://aims.fao.org/aos/geopolitical.owl#Grenada,Grenada,,
Grenade,,,,,,Grenade,,
Groenland,,,,,,Groenland,,
Groenlandia,,,,,,Groenlandia,,
Guadalupe,,,,,,Guadalupe,,
Guadeloupe,,,,,,Guadeloupe,,
Guam,,,,,,Guam,,
Guatemala,,,GTM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guatemala,http://aims.fao.org/aos/geopolitical.owl#Guatemala,Guatemala,,
Guayana francesa,,,,,,Guayana francesa,,
Guernesey,,,,,,Guernesey,,
Guernsey,,,,,,Guernsey,,
Guinea,,,GIN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guinea,http://aims.fao.org/aos/geopolitical.owl#Guinea,Guinea,,
Guinea Ecuatorial,,,,,,Guinea Ecuatorial,,
Guinea-Bissau,,,GNB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guinea-Bissau,http://aims.fao.org/aos/geopolitical.owl#Guinea-Bissau,Guinea-Bissau,,
Guinée,,,,,,Guinée,,
Guinée équatoriale,,,,,,Guinée équatoriale,,
Guinée-Bissau,,,,,,Guinée-Bissau,,
Gulf States,,,,,,Gulf States,,
Guyana,,,GUY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guyana,http://aims.fao.org/aos/geopolitical.owl#Guyana,Guyana,,
Guyane française,,,,,,Guyane française,,
Haiti,,,HTI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Haiti,http://aims.fao.org/aos/geopolitical.owl#Haiti,Haiti,,
Heard Island and McDonald Islands,,,,,,Heard Island and McDonald Islands,,
Holy See,,,VAT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Holy_See,http://aims.fao.org/aos/geopolitical.owl#Holy_See,Holy See,,
Honduras,,,HND,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Honduras,http://aims.fao.org/aos/geopolitical.owl#Honduras,Honduras,,
Hong Kong,,,,,,Hong Kong,,
Hong Kong S.A.R.,,,,,,Hong Kong S.A.R.,,
"Hong Kong S.A.R., China",,,,,,"Hong Kong S.A.R., China",,
Hongrie,,,,,,Hongrie,,
Hungary,,,HUN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Hungary,http://aims.fao.org/aos/geopolitical.owl#Hungary,Hungary,,
Hungría,,,,,,Hungría,,
Iceland,,,ISL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Iceland,http://aims.fao.org/aos/geopolitical.owl#Iceland,Iceland,,
Île de Man,,,,,,Île de Man,,
Île Norfolk,,,,,,Île Norfolk,,
Îles Ashmore-et-Cartier,,,,,,Îles Ashmore-et-Cartier,,
Îles Caïmanes,,,,,,Îles Caïmanes,,
Îles Cook,,,,,,Îles Cook,,
Îles Féroé,,,,,,Îles Féroé,,
Îles Heard-et-MacDonald,,,,,,Îles Heard-et-MacDonald,,
Îles Malvinas,,,,,,Îles Malvinas,,
Îles Mariannes du Nord,,,,,,Îles Mariannes du Nord,,
Îles Marshall,,,,,,Îles Marshall,,
Îles Pitcairn,,,,,,Îles Pitcairn,,
Îles Salomon,,,,,,Îles Salomon,,
Îles Turques et Caïques,,,,,,Îles Turques et Caïques,,
Îles Vierges britanniques,,,,,,Îles Vierges britanniques,,
Îles Vierges des États-Unis,,,,,,Îles Vierges des États-Unis,,
Îles Wallis et Futuna,,,,,,Îles Wallis et Futuna,,
Inde,,,,,,Inde,,
India,,,IND,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/India,http://aims.fao.org/aos/geopolitical.owl#India,India,,
Indian Ocean Territories,,,,,,Indian Ocean Territories,,
Indonesia,,,IDN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Indonesia,http://aims.fao.org/aos/geopolitical.owl#Indonesia,Indonesia,,
Indonésie,,,,,,Indonésie,,
Iran,,,IRN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Iran_Islamic_Rep_of_,http://aims.fao.org/aos/geopolitical.owl#Iran_Islamic_Rep_of_,Iran,,
Iraq,,,IRQ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Iraq,http://aims.fao.org/aos/geopolitical.owl#Iraq,Iraq,,
Ireland,,,IRL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ireland,http://aims.fao.org/aos/geopolitical.owl#Ireland,Ireland,,
Irlanda,,,,,,Irlanda,,
Irlande,,,,,,Irlande,,
Isla de Man,,,,,,Isla de Man,,
Isla Norfolk,,,,,,Isla Norfolk,,
Islande,,,,,,Islande,,
Islandia,,,,,,Islandia,,
Islas Ashmore y Cartier,,,,,,Islas Ashmore y Cartier,,
Islas Caimán,,,,,,Islas Caimán,,
Islas Cook,,,,,,Islas Cook,,
Islas Feroe,,,,,,Islas Feroe,,
Islas Georgias del Sur y Sandwich del Sur,,,,,,Islas Georgias del Sur y Sandwich del Sur,,
Islas Heard y McDonald,,,,,,Islas Heard y McDonald,,
Islas Malvinas,,,,,,Islas Malvinas,,
Islas Marianas del Norte,,,,,,Islas Marianas del Norte,,
Islas Marshall,,,,,,Islas Marshall,,
Islas Pitcairn,,,,,,Islas Pitcairn,,
Islas Salomón,,,,,,Islas Salomón,,
Islas Turcas y Caicos,,,,,,Islas Turcas y Caicos,,
Islas Vírgenes,,,,,,Islas Vírgenes,,
Islas Vírgenes de los Estados Unidos,,,,,,Islas Vírgenes de los Estados Unidos,,
Islas Wallis y Futuna,,,,,,Islas Wallis y Futuna,,
Isle of Man,,,,,,Isle of Man,,
Israel,,,ISR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Israel,http://aims.fao.org/aos/geopolitical.owl#Israel,Israel,,
Italia,,,,,,Italia,,
Italie,,,,,,Italie,,
Italy,,,ITA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Italy,http://aims.fao.org/aos/geopolitical.owl#Italy,Italy,,
Jamaica,,,JAM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Jamaica,http://aims.fao.org/aos/geopolitical.owl#Jamaica,Jamaica,,
Jamaïque,,,,,,Jamaïque,,
Japan,,,JPN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Japan,http://aims.fao.org/aos/geopolitical.owl#Japan,Japan,,
Japón,,,,,,Japón,,
Jersey,,,,,,Jersey,,
Jordan,,,JOR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Jordan,http://aims.fao.org/aos/geopolitical.owl#Jordan,Jordan,,
Jordania,,,,,,Jordania,,
Jordanie,,,,,,Jordanie,,
Kazajstán,,,,,,Kazajstán,,
Kazakhstan,,,KAZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kazakhstan,http://aims.fao.org/aos/geopolitical.owl#Kazakhstan,Kazakhstan,,
Kenya,,,KEN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kenya,http://aims.fao.org/aos/geopolitical.owl#Kenya,Kenya,,
Kirghizistan,,,,,,Kirghizistan,,
Kirguistán,,,,,,Kirguistán,,
Kiribati,,,KIR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kiribati,http://aims.fao.org/aos/geopolitical.owl#Kiribati,Kiribati,,
Korea,,,PRK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Democratic_People_s_Republic_of_Korea_the,http://aims.fao.org/aos/geopolitical.owl#Democratic_People_s_Republic_of_Korea_the,Korea,,
Kosovo,,,,,,Kosovo,,
Koweït,,,,,,Koweït,,
Kuwait,,,KWT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kuwait,http://aims.fao.org/aos/geopolitical.owl#Kuwait,Kuwait,,
Kyrgyzstan,,,KGZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kyrgyzstan,http://aims.fao.org/aos/geopolitical.owl#Kyrgyzstan,Kyrgyzstan,,
Lao,,,LAO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lao_People_s_Democratic_Republic__the,http://aims.fao.org/aos/geopolitical.owl#Lao_People_s_Democratic_Republic__the,Lao,,
Laos,,,,,,Laos,,
Latin America,,,,,,Latin America,,
Latvia,,,LVA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Latvia,http://aims.fao.org/aos/geopolitical.owl#Latvia,Latvia,,
Lebanon,,,LBN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lebanon,http://aims.fao.org/aos/geopolitical.owl#Lebanon,Lebanon,,
Lesotho,,,LSO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lesotho,http://aims.fao.org/aos/geopolitical.owl#Lesotho,Lesotho,,
Letonia,,,,,,Letonia,,
Lettonie,,,,,,Lettonie,,
Liban,,,,,,Liban,,
Líbano,,,,,,Líbano,,
Liberia,,,LBR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Liberia,http://aims.fao.org/aos/geopolitical.owl#Liberia,Liberia,,
Libia,,,,,,Libia,,
Libya,,,LBY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Libya,http://aims.fao.org/aos/geopolitical.owl#Libya,Libya,,
Libye,,,,,,Libye,,
Liechtenstein,,,LIE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Liechtenstein,http://aims.fao.org/aos/geopolitical.owl#Liechtenstein,Liechtenstein,,
Lithuania,,,LTU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lithuania,http://aims.fao.org/aos/geopolitical.owl#Lithuania,Lithuania,,
Lituania,,,,,,Lituania,,
Lituanie,,,,,,Lituanie,,
Luxembourg,,,LUX,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Luxembourg,http://aims.fao.org/aos/geopolitical.owl#Luxembourg,Luxembourg,,
Luxemburgo,,,,,,Luxemburgo,,
Macao,,,,,,Macao,,
Macao S.A.R,,,,,,Macao S.A.R,,
"Macao S.A.R., China",,,,,,"Macao S.A.R., China",,
Macédoine,,,,,,Macédoine,,
Macedonia,,,MKD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/The_former_Yugoslav_Republic_of_Macedonia,http://aims.fao.org/aos/geopolitical.owl#The_former_Yugoslav_Republic_of_Macedonia,Macedonia,,
Madagascar,,,MDG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Madagascar,http://aims.fao.org/aos/geopolitical.owl#Madagascar,Madagascar,,
MadeUpCountry,,,,,,MadeUpCountry,,
Malaisie,,,,,,Malaisie,,
Malasia,,,,,,Malasia,,
Malawi,,,MWI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Malawi,http://aims.fao.org/aos/geopolitical.owl#Malawi,Malawi,,
Malaysia,,,MYS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Malaysia,http://aims.fao.org/aos/geopolitical.owl#Malaysia,Malaysia,,
Maldivas,,,,,,Maldivas,,
Maldives,,,MDV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Maldives,http://aims.fao.org/aos/geopolitical.owl#Maldives,Maldives,,
Mali,,,MLI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mali,http://aims.fao.org/aos/geopolitical.owl#Mali,Mali,,
Malta,,,MLT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Malta,http://aims.fao.org/aos/geopolitical.owl#Malta,Malta,,
Malte,,,,,,Malte,,
Maroc,,,,,,Maroc,,
Marruecos,,,,,,Marruecos,,
